Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
l-4,,103-CTG_B0453_NE_1,9-103,3-ISV3,1(107-CTG_X0745_NE_1),,107-CTG_X0745_NE_1,9-107,4-ISV3,1(CTG_B0453_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18984,17974,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",4,4,0.1,0.1,-40.8,-40.8,-47.1,-48.1,0.1,0.3,0,0.1,-46.3,-47.4,-47.1,-48.1,0,0,0,0,-,-,42.269,42.269,13992,3266,68,22,270,67,Enabled,Enabled,-55.5,-55.5,-60.5,-60.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,1,-
l-6,,105-CTG_X0014_NE_1,9-105,3-ISV3,1(CTG_B1453_NE_1),,108-CTG_B1453_NE_1,9-108,3-ISV3,1(CTG_X0014_NE_1),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38381,37121,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",0,0,0,0,-33.1,-33.1,-33.8,-32.9,0.1,0.1,0,0,-33.2,-32.1,-33.8,-32.9,0,0,0,0,-,-,88.203,88.203,5504,29630,227,98,1994,6111,Enabled,Enabled,-50.5,-50.5,-55.5,-55.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,2,-
l-7,,105-CTG_X0014_NE_1,9-105,5-ISV3,1(108-CTG_B1453_NE_1-S),,108-CTG_B1453_NE_1,9-108,5-ISV3,1(105-CTG_X0014_NE_1-S),Hybrid(89Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38381,37121,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",0,0,-55,-55,-10,-10,-33.8,-31.5,-55,-55,-55,-55,-32.8,-30.8,-33.8,-31.5,0,0,0,0,-,-,88.203,88.203,5494,28833,220,98,1994,6111,Enabled,Enabled,-50.5,-50.5,-55.5,-55.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,3,-
1,,258-CTG_X0047_NE_1,9-258,4-ISV3,1(CTG_X0001_NE_1),,261-CTG_X0001_NE_1,9-261,3-ISV3,1(258-CTG_X0047_NE_1),Hybrid(217Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15124,14704,"15E1,28MHz,1024QAM","15E1,28MHz,1024QAM",6,6,0,-0.1,-10,-10,-46.4,-46.2,0,0.2,-0.2,-0.1,-45.6,-45.4,-46.4,-46.2,15,15,1,1,6.67,6.67,185.473,185.473,3,3,/,0,/,0,Enabled,Enabled,-45,-45,-50,-50,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAM,1024QAM,QPSKStrong,QPSKStrong,/,/,/,/,4,-
l-13,,253-CTG_X0547_NE_1,9-253,5-ISV3,1(CTG_X0001_NE_1),,261-CTG_X0001_NE_1,9-261,5-ISV3,1(253-CTG_X0547_NE_1),Hybrid(217Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25599,24591,"15E1,28MHz,1024QAM","15E1,28MHz,1024QAM",0,0,0,0,-10,-10,-40.1,-39.2,0,0.1,0,0,-39.8,-38.9,-40.2,-39.4,15,15,14,13,93.33,86.67,185.473,185.473,2,1,0,0,0,0,Enabled,Enabled,-44,-44,-49,-49,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAM,1024QAM,QPSKStrong,QPSKStrong,/,/,/,/,5,-
l-2,,358-CTG_X0518_NE_1,9-358,3-ISV3,1(CTG_X0014_NE_2),,366-CTG_X0014_NE_2,9-366,3-ISV3,1(CTG_X0518_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14501.000,14725.000]","[14921.000,15145.000]",XMC-2,XMC-2,TX low,TX high,14704,15124,"28E1,28MHz,1024QAMLight","28E1,28MHz,1024QAMLight",0,0,0.2,0.1,-10,-10,-39.5,-38.9,0.3,0.1,0.1,-0.2,-39.2,-38.5,-39.5,-38.9,28,28,22,22,78.57,78.57,169.293,169.293,47033,8478,107,78,10043,2286,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,16QAMStrong,16QAMStrong,/,/,/,/,11,-
l-4,,365-CTG_X0366_NE_1,9-365,5-ISV3,1(CTG_X0002_NE_1),,364-CTG_X0002_NE_1,9-364,3-ISV3,1(CTG_X0366_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17944.25,18954.25,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",4,4,0,0,-10,-10,-35.4,-35,0,0,-0.1,-0.1,-35.2,-34.8,-35.7,-35,0,0,0,0,-,-,42.269,42.269,0,0,0,0,0,0,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,12,-
i,,363-CTG_X0463_NE_1,9-363,3-ISV3,1(CTG_X0002_NE_1),,364-CTG_X0002_NE_1,9-364,4-ISV3,1(CTG_X0463_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24598,25606,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",0,0,0,0,-10,-10,-30.7,-31.6,0.1,0,0,0,-30.6,-31.4,-30.8,-31.8,0,0,0,0,-,-,88.203,88.203,42699,9122,172,150,8501,2044,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,16QAMStrong,16QAMStrong,/,/,/,/,13,-
l-1,,387-CTG_X0152_NE_1,9-387,7-ISV3,1(CTG_X0015_NE_1),,384-CTG_X0015_NE_1,9-384,5-ISV3,1(CTG_X0152_NE_1),Hybrid(161Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18985,17975,"0E1,28MHz,128QAM","0E1,28MHz,128QAM",4,4,0,0,-10,-10,-49.1,-48.8,0.1,0.1,0,0,-48.8,-48.8,-49.1,-49.4,0,0,0,0,-,-,159.919,159.919,26565,119627,477,1039,7827,38829,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,128QAM,128QAM,QPSKStrong,QPSKStrong,/,/,/,/,17,-
l-20,,598-CTG_X0059_NE_1,9-598,4-ISV3,1(CTG_R1794_NE_1),,617-CTG_R1794_NE_1,9-617,3-ISV3,1(CTG_X0059_NE_1),Hybrid(89Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[18695.000,19240.000]","[17685.000,18230.000]",XMC-2,XMC-2,TX high,TX low,18950.625,17940.625,"0E1,14MHz,256QAM","0E1,14MHz,256QAM",5,5,0,0.2,-10,-10,-45.7,-46.3,0,0.2,-0.1,0,-45.7,-45.9,-46,-46.3,0,0,0,0,-,-,88.203,88.203,7594,40296,64,84,1487,6304,Enabled,Enabled,-50,-50,-55,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,24,-
