Link Name,Source Physical Location,Source NE Name,Source NE ID,Source Board,Source Port,Sink Physical Location,Sink NE Name,Sink NE ID,Sink Board,Sink Port,Level,Up and down Rate Ratio(TX:RX),Source Protect Type,Sink Protect Type,Source Protection Group ID,Sink Protection Group ID,Source Protect Unit Type,Sink Protect Unit Type,Source Revertive Mode,Sink Revertive Mode,Source Protection Group Active Work Unit,Sink Protection Group Active Work Unit,Source XPIC Group ID,Sink XPIC Group ID,Source XPIC Group Capacity (Mbit/s),Sink XPIC Group Capacity (Mbit/s),Source XPIC Polarization Direction,Sink XPIC Polarization Direction,Source XPIC Adjoin NEID,Sink XPIC Adjoin NEID,Source XPIC Adjoin LinkID,Sink XPIC Adjoin LinkID,Source Frequency(GHz),Sink Frequency(GHz),Source ODU Frequency Range(MHz),Sink ODU Frequency Range(MHz),Source Equipment Infomation,Sink Equipment Infomation,Source Station Type,Sink Station Type,Source NE Frequency (MHz),Sink NE Frequency (MHz),Source NE Radio Work Mode,Sink NE Radio Work Mode,Source NE Preset Value of Transmit Power,Sink NE Preset Value of Transmit Power,Source NE Current Value of Transmit Power,Sink NE Current Value of Transmit Power,Source NE Preset Value of Receive Power,Sink NE Preset Value of Receive Power,Source NE Current Value of Receive Power,Sink NE Current Value of Receive Power,Source NE Max Value of Transmit Power of 24-Hour PM,Sink NE Max Value of Transmit Power of 24-Hour PM,Source NE Min Value of Transmit Power of 24-Hour PM,Sink NE Min Value of Transmit Power of 24-Hour PM,Source NE Max Value of Receive Power of 24-Hour PM,Sink NE Max Value of Receive Power of 24-Hour PM,Source NE Min Value of Receive Power of 24-Hour PM,Sink NE Min Value of Receive Power of 24-Hour PM,Source NE Guaranteed E1 Capacity,Sink NE Guaranteed E1 Capacity,Source NE Occupied E1 Capacity,Sink NE Occupied E1 Capacity,Source NE E1 Capacity Usage (%),Sink NE E1 Capacity Usage (%),Source NE Ethernet Capacity (Mbit/s),Sink NE Ethernet Capacity (Mbit/s),Source NE Max. Ethernet Throughput (kbps),Sink NE Max. Ethernet Throughput (kbps),Source NE Min. Ethernet Throughput (kbps),Sink NE Min. Ethernet Throughput (kbps),Source NE Average Ethernet Throughput (kbps),Sink NE Average Ethernet Throughput (kbps),Source NE ATPC Enable Status,Sink NE ATPC Enable Status,Source NE ATPC Upper Threshold,Sink NE ATPC Upper Threshold,Source NE ATPC Lower Threshold,Sink NE ATPC Lower Threshold,Source NE ATPC Automatic Threshold Enable Status,Sink NE ATPC Automatic Threshold Enable Status,Source NE ATPC Upper Automatic Threshold,Sink NE ATPC Upper Automatic Threshold,Source NE ATPC Lower Automatic Threshold,Sink NE ATPC Lower Automatic Threshold,Source NE AM Status,Sink NE AM Status,Source AM Full Capacity Modulation Format,Sink AM Full Capacity Modulation Format,Source AM Guaranteed Capacity Modulation Format,Sink AM Guaranteed Capacity Modulation Format,Highest-Order AM Scheme for Source NE,Highest-Order AM Scheme for Sink NE,Lowest-Order AM Scheme for Source NE,Lowest-Order AM Scheme for Sink NE,Link ID,Site Distance
l-10,,136-DHK_X0002_NE_1,9-136,5-ISV3,1(DHK_X1113_NE_1),,137-DHK_X1113_NE_1,9-137,3-ISV3,1(DHK_X0002_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,18002,19012,"2E1,7MHz,256QAM","2E1,7MHz,256QAM",4,4,3.4,4.1,-10,-10,-44.5,-46.2,3.7,5.6,3.4,4.1,-43.9,-46.2,-44.5,-46.9,2,2,1,1,50,50,38.16,38.16,16058,2645,2,3,451,180,Enabled,Enabled,-42.5,-42.5,-47.5,-47.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,7,-
l-11,,138-DHK_X9024_NE_1,9-138,7-ISV3,1(DHK_X3376_NE_1),,139-DHK_X3376_NE_1,9-139,4-ISV3,1(DHK_X9024_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,"[14921.000,15145.000]","[14501.000,14725.000]",XMC-2,XMC-2,TX high,TX low,15117,14697,"1E1,14MHz,1024QAMLight","1E1,14MHz,1024QAMLight",5,5,0,0,-10,-10,-42.2,-43.6,0.2,0.2,-0.1,-0.1,-41.8,-43,-42.5,-43.8,1,1,1,1,100,100,106.632,106.632,26659,/,387,/,4064,/,Enabled,Enabled,-43,-43,-48,-48,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,8,-
l-51,,324-DHK_X3000_NE_1,9-324,5-ISV3,1(328-DHK_X0718_NE_1),,328-DHK_X0718_NE_1,9-328,4-ISV3,1(DHK_X3000_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[37044.000,37632.000]","[38304.000,38892.000]",XMC-2,XMC-2,TX low,TX high,37149,38409,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",5,5,0,0,-10,-10,-40.4,-40.1,0.1,0.1,0,0,-40.1,-39.6,-40.4,-40.1,0,0,0,0,-,-,108.702,108.702,70289,20088,184,212,11943,3495,Disabled,Enabled,-,-50,-,-55,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,1024QAMLight,/,QPSKStrong,49,-
l-71,,89-KT04_NE_1,Sep-89,7-ISV3,1(DHK_X2162_NE_1),,86-DHK_X2162_NE_1,Sep-86,3-ISV3,1(KT04_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17947.5,18957.5,"0E1,28MHz,1024QAMLight","0E1,28MHz,1024QAMLight",4,4,0,0,-10,-10,-37.7,-37.1,0.1,0,0,0,-37.3,-36.2,-37.7,-37.1,0,0,0,0,-,-,227.398,227.398,20135,50956,107,121,983,3295,Enabled,Enabled,-42.5,-42.5,-47.5,-47.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,69,-
l-72,,86-DHK_X2162_NE_1,Sep-86,5-ISV3,1(DHK_X4312_NE_1),,88-DHK_X4312_NE_1,Sep-88,3-ISV3,1(DHK_X2162_NE_1),Hybrid(109Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,38,"[38304.000,38892.000]","[37044.000,37632.000]",XMC-2,XMC-2,TX high,TX low,38381,37121,"0E1,14MHz,1024QAMLight","0E1,14MHz,1024QAMLight",0,0,0,0,-10,-10,-35.3,-35,0.1,0,0,0,-34.8,-34.5,-35.3,-35,0,0,0,0,-,-,108.702,108.702,20624,77652,278,307,2757,11530,Enabled,Enabled,-40.5,-40.5,-45.5,-45.5,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,70,-
l-75,,89-KT04_NE_1,Sep-89,9-ISV3,1(DHK_X0340_NE_1),,93-DHK_X0340_NE_1,Sep-93,3-ISV3,1(KT04_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17974,18984,"1E1,7MHz,256QAM","1E1,7MHz,256QAM",4,4,0,0,-10,-10,-48.9,-46.5,0.1,0.2,0,0,-48.8,-46.5,-49.2,-46.9,1,1,1,1,100,100,40.215,40.215,0,3,0,0,0,0,Enabled,Enabled,-53,-53,-58,-58,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,73,-
l-80,,334-DHK_X9032_NE_1,9-334,7-ISV3,1(DHK_X3487_NE_1),,336-DHK_X3487_NE_1,9-336,3-ISV3,1(DHK_X9032_NE_1),Hybrid(228Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[25557.000,25893.000]","[24549.000,24885.000]",XMC-2,XMC-2,TX high,TX low,25599,24591,"0E1,28MHz,1024QAMLight","0E1,28MHz,1024QAMLight",0,0,0,0,-10,-10,-35.5,-34.5,0.1,0.1,0,0,-35.1,-34.2,-35.5,-34.6,0,0,0,0,-,-,227.398,227.398,26009,86397,628,635,4914,20165,Enabled,Enabled,-41,-41,-46,-46,Disabled,Disabled,-,-,-,-,Enabled,Enabled,1024QAMLight,1024QAMLight,QPSKStrong,QPSKStrong,/,/,/,/,76,-
l-1,,222-DHK_X4407_NE_1,9-222,3-ISV3,1(DHK_X0644_NE_1),,224-DHK_X0644_NE_1,9-224,3-ISV3,1(DHK_X4407_NE_1),Hybrid(196Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Work Unit,Work Unit,Revertive,Revertive,Work Unit,Work Unit,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17975,18985,"0E1,28MHz,512QAM","0E1,28MHz,512QAM",16,16,12.5,10.4,-10,-10,-41.6,-40.9,12.5,10.4,12.4,9.5,-41.6,-40.8,-42.9,-41.1,0,0,0,0,-,-,195.675,195.675,148986,34603,1250,967,40740,11929,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,QPSKStrong,QPSKStrong,256QAM,256QAM,QPSKStrong,QPSKStrong,77,-
l-2,,222-DHK_X4407_NE_1,9-222,5-ISV3,1(DHK_X0644_NE_1),,224-DHK_X0644_NE_1,9-224,5-ISV3,1(DHK_X4407_NE_1),Hybrid(196Mbit/s),-,1+1(HSB),1+1(HSB),1,1,Protect Unit,Protect Unit,Revertive,Revertive,Protect Unit,Protect Unit,-,-,-,-,-,-,-,-,-,-,18,18,"[17685.000,18230.000]","[18695.000,19240.000]",XMC-2,XMC-2,TX low,TX high,17975,18985,"0E1,28MHz,512QAM","0E1,28MHz,512QAM",16,16,-55,-55,-10,-10,-41.8,-41,/,-55,/,-55,/,-40.7,/,-41.1,0,0,0,0,-,-,195.675,195.675,/,34862,/,1000,/,11929,Enabled,Enabled,-40,-40,-45,-45,Disabled,Disabled,-,-,-,-,Enabled,Enabled,512QAM,512QAM,QPSKStrong,QPSKStrong,256QAM,256QAM,QPSKStrong,QPSKStrong,78,-
l-8,,273-DHK_X0117_NE_1,9-273,6-ISV3,1(DHK_X0802_NE_1),,275-DHK_X0802_NE_1,9-275,5-ISV3,1(DHK_X0117_NE_1),Hybrid(43Mbit/s),-,None,None,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,"[24549.000,24885.000]","[25557.000,25893.000]",XMC-2,XMC-2,TX low,TX high,24594.5,25602.5,"0E1,7MHz,256QAM","0E1,7MHz,256QAM",20,20,6,3,-10,-10,-53.5,-53.3,6,3,2,0.2,-53.5,-53.3,-55.2,-53.7,0,0,0,0,-,-,42.269,42.269,310,63,0,0,0,0,Enabled,Enabled,-52,-52,-57,-57,Disabled,Disabled,-,-,-,-,Enabled,Enabled,256QAM,256QAM,QPSKStrong,QPSKStrong,/,/,/,/,84,-
