"Alarm Name","Alarm Type","Alarm Source Node","Card/Board Location","Impacted Link","Impacted NE"
"POWER_ABNORMAL","NE BASED","CTG_G0337_NE_1","9-PIU","","CTG_G0337_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_R1794_NE_1","9-PIU","","CTG_R1794_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_X0392_NE_1","9-PIU","","CTG_X0392_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_R9040_NE_2","9-PIU","","CTG_R9040_NE_2"
"POWER_ABNORMAL","NE BASED","CTG_R1767_NE_1","9-PIU","","CTG_R1767_NE_1"
"POWER_ABNORMAL","NE BASED","CTG_X1389_NE_1","9-PIU","","CTG_X1389_NE_1"
"BUS_ERR","BOTH (NE BASED)","RAJ_X0497_NE_2","7-CSHO","","RAJ_X0497_NE_2"
"POWER_ABNORMAL","NE BASED","BAR_R0278_NE_1","9-PIU","","BAR_R0278_NE_1"
"MW_LOF","LINK BASED","RAJ_X0546_NE_2","6-ISV3","RAJ_X0546_NE_2-RAJ_X0284_NE_1",""
"MW_LOF","LINK BASED","RAJ_X0546_NE_2","4-ISV3","RAJ_X0546_NE_2-RAJ_X0284_NE_1",""
"VOLT_LOS","LINK BASED","RAJ_X0284_NE_1","4-ISV3","RAJ_X0284_NE_1-RAJ_X0546_NE_2",""
"MW_LOF","LINK BASED","RAJ_X0284_NE_1","4-ISV3","RAJ_X0284_NE_1-RAJ_X0546_NE_2",""
"VOLT_LOS","LINK BASED","RAJ_X0546_NE_2","4-ISV3","RAJ_X0546_NE_2-RAJ_X0284_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0546_NE_2","6-ISV3","RAJ_X0546_NE_2-RAJ_X0284_NE_1",""
"VOLT_LOS","LINK BASED","RAJ_X0546_NE_2","6-ISV3","RAJ_X0546_NE_2-RAJ_X0284_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0044_NE_1","1-ISV3","RAJ_X0044_NE_1-RAJ_X1266_NE_1",""
"MW_LOF","LINK BASED","RAJ_X0044_NE_1","1-ISV3","RAJ_X0044_NE_1-RAJ_X1266_NE_1",""
"POWER_ABNORMAL","NE BASED","RAJ_X0499_NE_3","9-PIU","","RAJ_X0499_NE_3"
"POWER_ABNORMAL","NE BASED","CTG_R1759_NE_1","9-PIU","","CTG_R1759_NE_1"
"MW_LOF","LINK BASED","CTG_X9003_NE_3","3-ISV3","CTG_X9003_NE_3-CTG_X0641_NE_2",""
"POWER_ABNORMAL","NE BASED","DHK_R4254_NE_1","5-PIU","","DHK_R4254_NE_1"
"POWER_ABNORMAL","NE BASED","DHK_X0825_NE_2","5-PIU","","DHK_X0825_NE_2"
